run_id,voxel_size_scan,voxel_size_map_factor,ndt_cell_size,ndt_iterations,r_scan,r_map_factor,zlim_min,zlim_max,voxel_size_map,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
67,0.45,2.0,4,10,1.5,1.8,0.0,7.0,0.9,2.7,"[550, 650]","[0.0, 7.0]",,,16.160437411103892,1.2702230683292492,0.04908365050951368,0.006266235375072532,1.2325725555419922
68,0.45,2.0,4,10,1.5,2.0,0.0,7.0,0.9,3.0,"[550, 650]","[0.0, 7.0]",,,1.2720825458248675,0.4973720349282423,0.002013642381927725,-0.01143894794124016,1.1648705005645752
69,0.45,2.0,4,10,1.5,2.2,0.0,7.0,0.9,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.207691251739859,0.575612175998839,0.006662509039940359,0.0032391532810114184,1.1808015406131744
70,0.45,2.0,4,10,1.7,1.8,0.0,7.0,0.9,3.06,"[550, 650]","[0.0, 7.0]",,,1.1517281117662068,0.4252996512671355,0.004777190417088904,-0.0039525265066697336,1.122452094554901
71,0.45,2.0,4,10,1.7,2.0,0.0,7.0,0.9,3.4,"[550, 650]","[0.0, 7.0]",,,1.3234782006927508,0.6516367672651787,0.007609074079587136,0.003973837580576519,1.1164336204528809
72,0.45,2.0,4,10,1.7,2.2,0.0,7.0,0.9,3.74,"[550, 650]","[0.0, 7.0]",,,1.4014118627688426,0.5851664763136192,0.007035605214847708,0.0031573738794735268,1.106799518360811
73,0.45,2.2,4,10,1.3,1.8,0.0,7.0,0.9900000000000001,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.289528318504621,0.6819021394928034,0.008185375854273315,-0.011512841876176757,1.4083158810933432
74,0.45,2.2,4,10,1.3,2.0,0.0,7.0,0.9900000000000001,2.6,"[550, 650]","[0.0, 7.0]",,,1.2136061493606578,0.40890742610264513,0.0004613236674813545,-0.025986065679540614,1.3810871442159016
75,0.45,2.2,4,10,1.3,2.2,0.0,7.0,0.9900000000000001,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2162929368456092,0.6220410289670671,-8.76702366086092e-05,-0.03065880660808844,1.2954824278431554
76,0.45,2.2,4,10,1.5,1.8,0.0,7.0,0.9900000000000001,2.7,"[550, 650]","[0.0, 7.0]",,,1.2445192066200996,0.6090177113898617,-0.0001273868583572986,-0.02170366805129272,1.2240891382098198
77,0.45,2.2,4,10,1.5,2.0,0.0,7.0,0.9900000000000001,3.0,"[550, 650]","[0.0, 7.0]",,,1.2731827707807908,0.5089620302880288,0.0,-0.008991719037150618,1.2432612010410853
78,0.45,2.2,4,10,1.5,2.2,0.0,7.0,0.9900000000000001,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.3332226577782182,0.8121684423934177,0.0,-0.01821048985524395,1.2930671374003093
79,0.45,2.2,4,10,1.7,1.8,0.0,7.0,0.9900000000000001,3.06,"[550, 650]","[0.0, 7.0]",,,1.3146243715653056,0.6262316384661295,0.002923903280112024,-0.02209037793179872,1.143190022437803
80,0.45,2.2,4,10,1.7,2.0,0.0,7.0,0.9900000000000001,3.4,"[550, 650]","[0.0, 7.0]",,,1.2946952184503413,0.5804618926358015,0.0,-0.01756181032088457,1.1750852194699375
81,0.45,2.2,4,10,1.7,2.2,0.0,7.0,0.9900000000000001,3.74,"[550, 650]","[0.0, 7.0]",,,1.340972362885034,0.7760241328468759,0.009685785579730552,0.0018699659961011503,1.2472584247589111
